데이터셋ID,데이터셋명,데이터셋설명,기관명,담당자명,전화번호,키워드1,키워드2,키워드3,기타유의사항,등록일,데이터ID,데이터명,데이터설명,제3자권리포함유무,상위분류,제3자권리,이용허락범위,업데이트주기,그리드,오픈API,파일,원시데이터,지도,챠트,링크,링크URL,공공데이터포털URL
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20141015,20141015000000000107,기타 가축통계,시도별 기타가축 사육농가 및 사육마릿수 조회 서비스,미포함,축산,미포함,,년간,N,N,Y,N,N,N,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20141015000000000107
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000502,기타 가축통계(거위/사슴/칠면조),기타 가축통계(거위/사슴/칠면조) 정보제공,미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000502
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000503,기타 가축통계(개/마필),기타 가축통계(개/마필) 정보제공,미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000503
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000504,기타 가축통계(꿀벌),기타 가축통계(꿀벌),미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000504
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000505,기타 가축통계(메추리),기타 가축통계(메추리),미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000505
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000506,기타 가축통계(면양),기타 가축통계(면양),미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000506
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000507,기타 가축통계(산양),기타 가축통계(산양),미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000507
20141009000000000011,기타가축통계,"시도별 기타가축(마필, 산양, 면양, 사슴, 토끼, 개, 오리, 칠면조 등) 사육농가 및 사육마릿수 자료 ",농림축산식품부,이요성,0442012339,기타가축통계,동물통계,기타축산, ,20151030,20151030000000000508,기타 가축통계(토끼),기타 가축통계(토끼),미포함,축산,미포함,,년간,Y,Y,N,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20151030000000000508
20141009000000000015,배합사료생산실적,축종별 배합사료 생산실적 통계,농림축산식품부,조성민,0442012360,생산실적, 배합사료,축종별배합사료, ,20141014,20141014000000000014,배합 사료 생산 실적,"축종별 배합사료(월별) - 젖소, 고기소, 양돈, 양계, 기타가축",미포함,축산,미포함,,년간,Y,Y,Y,Y,N,N,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20141014000000000014
20141009000000000017,우유 및 유제품 생산소비현황,"전국(시도별) 우유 생산 및 소비, 유제품 생산 및 소비 실적 통계자료",농림축산식품부,김정희,0442012341,유제품, 우유통계,우유생산량, ,20141014,20141014000000000015,시도별 우유 생산량,전국(시도별) 우유생산량,미포함,축산,미포함,,년간,Y,Y,Y,Y,N,Y,N,,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20141014000000000015
